step,datetime,GPP,H,LE,SW_rad,T_air_C,J_GPP_Vcmax25,J_GPP_T_air,J_GPP_SW_rad,J_GPP_q,J_GPP_dpai,J_H_Vcmax25,J_H_T_air,J_H_SW_rad,J_H_q,J_H_dpai,J_LE_Vcmax25,J_LE_T_air,J_LE_SW_rad,J_LE_q,J_LE_dpai
787,2007-05-17 09:00,5.720339352300423e-17,-42.7197813310748,-0.6961635548054017,0.0,10.665338134765648,-1.5746931601948627e-17,-1.2778252940856295e-20,0.0,0.0,1.301091061596221e-16,0.0,-1739.8413602744583,0.0,1.4833463396268005,45.497654269056426,0.0,86.47934098619217,0.0,-1.5706207380306765,-0.15039947912541726
793,2007-05-17 12:00,-5.49278708246748e-18,-50.91352260383926,-0.4520616816820629,0.0,10.899377441406273,-1.887051358238815e-17,-3.056426943164007e-20,0.0,0.0,1.6527802080431745e-17,0.0,-1689.2549470832957,0.0,1.3337754579552552,37.94923170214123,0.0,83.94940201237925,0.0,-1.4243000483510455,0.22225818328753744
799,2007-05-17 15:00,28.315851122204858,132.0933783351984,43.28152100629306,255.2962712994327,12.180841064453148,10.972833932293264,-0.05766207081733711,12.61449282721841,0.0,6.865974786038302,-7.541519334239885,-6203.897032071034,151.64001486295575,95.83194377205739,62.62145177309846,8.010423084430725,4968.191331586281,75.67980503649308,-102.15264881065622,40.49652215239573
805,2007-05-17 18:00,34.01986668072379,176.86059916674088,304.2734718462752,725.9889805863083,18.470330810546898,15.708079062548975,-0.13759484182500625,11.058417940409354,0.0,9.44741206085243,-55.27582712037615,-5411.047325093403,283.91509580156014,86.98867680465305,66.52409001540371,60.17506150104608,4457.06567197278,259.4177583738175,-95.66120605500849,114.63668811274003
811,2007-05-17 21:00,34.46945460899025,118.85666706232848,412.57848411987516,808.4936623894396,23.915307617187523,16.210304205636554,-0.1033277370846258,11.167525902886453,0.0,9.658467735176437,-88.99103191337899,-6802.7908421060365,309.5443211739396,114.46024989070683,61.34380457407411,95.00886624234884,5661.934750985073,286.380721396796,-123.24955577969571,130.15069509289182
817,2007-05-18 00:00,31.382419349117598,-52.499708832041726,312.77492342169086,395.66481062173386,23.934564208984398,14.61702403158953,-3.486910607825109,10.867961756270438,-0.015654889140700408,7.810281247471508,-83.07325309603574,-8592.640196437835,159.25592068751357,153.88325000535943,24.720809019690194,86.09706741818552,6965.219836233003,171.8595590558255,-160.4831826636224,77.7098552603276
823,2007-05-18 03:00,0.3424866185797176,-55.82960635212193,1.3838657275108268,0.5095634069788072,18.304071044921898,0.018025895928142865,2.8887359765062496e-06,0.3385247276430972,0.0,0.07335588305092405,0.0,-1813.7627263917823,1.343852443921751,1.806742815220083,12.983129026351271,0.0,90.13537916088974,0.003210185428441784,-1.906680128178011,1.649910110422458
829,2007-05-18 06:00,1.217042181748221e-17,-41.56556446368652,0.05400203071658258,0.0,13.453332519531273,1.981152647405825e-17,1.1813060583578545e-21,0.0,0.0,2.735472727040696e-17,0.0,-1750.3130106502115,0.0,1.618945190601709,34.30403368592727,0.0,86.90314753219839,0.0,-1.7161125325865327,0.5156036810952538
835,2007-05-18 09:00,7.331193893560403e-18,-44.02714892410448,-0.28070628547818205,0.0,12.108758544921898,-8.561491952780832e-17,7.886511693567492e-21,0.0,0.0,5.502902629915849e-17,0.0,-1715.7807717649155,0.0,1.5356164923059348,37.37750939460327,0.0,85.19147390523256,0.0,-1.6344612982902476,0.27344935549502725
841,2007-05-18 12:00,-5.3078816875115175e-17,-52.44316903825761,-0.1624612736830256,0.0,10.000939941406273,-2.6389598102918493e-17,-1.567975441100704e-20,0.0,0.0,-6.140904352784651e-17,0.0,-1299.8978599557233,0.0,1.1195335371006574,18.25294126664209,0.0,64.68013647244302,0.0,-1.2691266351016706,1.0103491907264115
847,2007-05-18 15:00,27.773980911692597,53.84798882653675,107.73115933008688,260.7981982837024,13.306695556640648,10.555822160693399,-0.1438395617064708,11.746411607851385,0.0,6.727857370695345,-9.739525185225997,-3243.4367287507707,107.41374528284265,53.483252252869974,22.89768494372847,11.01403782341247,2520.590735104064,118.25514443167089,-61.18335491631392,51.701269747992185
853,2007-05-18 18:00,33.57024578201079,138.1793455292616,325.3133446441842,698.4400892689007,20.003564453125023,15.193513751258443,-0.17594286585782964,10.912315899905579,0.0,9.29125222754112,-48.368013564723434,-4372.121933841034,252.60888031106782,71.7055858962191,52.92782768065415,53.72021450270552,3563.596839025602,270.10823728343945,-80.63634238414366,114.61162497535595
859,2007-05-18 21:00,34.458643065938745,85.42284679139513,400.44139044219787,719.2048052139684,24.033319091796898,16.33773567949078,-0.08218432892887396,11.21114406501692,0.0,9.53238613120066,-96.2123713605045,-7706.494772574218,291.37346114150097,129.95418434483034,55.099438724715576,101.53211404521048,6446.072482030203,258.18996030496135,-138.1174220562658,122.23058331944584
865,2007-05-19 00:00,29.776956652017965,-87.32532960650794,289.4217931100433,307.75055387379314,24.848382568359398,12.860571154718787,-1.2640108145856301,11.619873416783138,-0.005957423622237845,7.264856918169954,-63.02164810024832,-7708.425756706188,102.27477845630209,149.05006520665128,9.98550192781336,65.64961858817135,6184.382938318082,167.92441517718385,-155.98842483457622,68.66956705657046
871,2007-05-19 03:00,0.40935982107841734,-54.072669531866964,1.6005184907096062,0.612826910026142,18.702966308593773,0.022626513214666067,3.8005293046382803e-06,0.4034543587451705,0.0,0.08783623394809491,0.0,-1784.0295135084439,1.6022954895371044,1.7086786668399654,10.71973818329926,0.0,88.59589905967535,0.004228373755089841,-1.812292105231437,1.8764418940471006
877,2007-05-19 06:00,4.473994610855939e-19,-40.3871520969286,0.294885758918049,0.0,14.314630126953148,8.463479385085006e-17,-1.562100378148485e-20,0.0,0.0,-3.770903059334374e-18,0.0,-1776.225495688173,0.0,1.649618192161766,32.265153274261095,0.0,88.11925686785492,0.0,-1.7429461420856942,0.6933196641201919
883,2007-05-19 09:00,8.007212483023064e-17,-38.95012813808566,0.020498530444107082,0.0,13.295190429687523,1.912298974033847e-17,-8.238319548182593e-21,0.0,0.0,9.058267838541642e-17,0.0,-1730.9206626577477,0.0,1.6133815001995058,34.48254784408226,0.0,85.8714980486457,0.0,-1.7148343470880072,0.5153302693980645
